Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,,,,,,,,,
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.602,0.005,19.8,11.652,0.8,0.063,0.68,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,,GB3-5,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.011,-1.0,13.502,1.0,0.099,-0.2,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,,GB4-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.659,0.032,-1.0,13.502,1.0,0.099,-0.2,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.664,0.008,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.678,0.005,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.694,0.009,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,,HMB-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.614,0.036,10.5,12.429,1.0,0.087,0.1,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.639,0.007,14.4,12.094,0.5,0.042,-3.76,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.591,0.004,27.3,11.078,0.2,0.015,-3.54,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.606,0.006,23.7,11.348,0.1,0.008,-3.69,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.665,0.007,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.649,0.012,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.668,0.004,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-16,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.004,15.9,11.969,1.7,0.140,-1.57,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-3.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.651,0.023,3.4,13.075,0.8,0.075,-1.57,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-8.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.619,0.012,8.6,12.597,2.2,0.194,-1.66,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-12,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.672,0.019,12.0,12.299,0.5,0.043,-2.03,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-15,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.645,0.005,15.0,12.044,0.5,0.042,-1.37,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-4,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.680,0.008,4.0,13.019,0.5,0.047,-1.94,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-8,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.661,0.008,8.0,12.651,0.5,0.045,-3.07,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P105,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.613,0.006,20.0,11.636,1.0,0.079,-0.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P110,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.596,0.011,20.0,11.636,1.0,0.079,-0.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P132,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.628,0.006,24.5,11.287,0.5,0.038,-0.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P52,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.614,0.001,24.5,11.287,0.5,0.038,-0.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P8-30,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.004,24.5,11.287,0.5,0.038,-0.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P95,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.611,0.007,20.0,11.636,1.0,0.079,-0.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.593,0.001,29.5,10.917,3.0,0.213,0.8,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.604,0.014,29.5,10.917,3.0,0.213,0.8,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.605,0.008,29.5,10.917,3.0,0.213,0.8,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,,RBJ-1-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.591,0.005,27.5,11.063,1.0,0.073,0.8,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Arctica,Arctica islandica,Arctica,Arctica islandica,,,,WG061278,A,JohnsHopkins,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.635,0.012,4.7,12.953,2.0,0.184,0.08,NA,90,,Petersen,,,,,,,,,
2014,Fernandez,,,,,,,,,SID3,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,4,0.534,0.015,39.0,10.263,1.0,0.065,-6.1,0.4,100,,Petersen,,,,,,,,,
2014,Fernandez,,,,,,,,,SID4,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,5,0.507,0.017,51.0,9.517,1.0,0.058,-5.9,0.4,100,,Petersen,,,,,,,,,
2014,Fernandez,,,,,,,,,SID5,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,3,0.583,0.013,21.0,11.557,1.0,0.078,-6.4,0.4,100,,Petersen,,,,,,,,,
2014,Wacker,Brachiopod,Dyscolia,Dyscolia wyvillei,Dyscolia,Dyscolia wyvillei,,,,Dwyvillei,C,Goethe,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,27,0.644,0.003,10.0,12.473,1.0,0.088,0.49,NA,90,,Petersen,,,,,,,,,
2014,Wacker,Foraminifera,Globorotalia,Globorotalia hirsuta,Globorotalia,Globorotalia hirsuta,4 Open ocean sub-thermocline,Aze et al 2011,,Ghirsuta,C,Goethe,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.645,0.006,9.0,12.561,1.0,0.089,,,90,,Petersen,,,,,,,,,
2014,Wacker,Bivalve,Spondylu,Spondylu ssp,Spondylu,Spondylu ssp,,,,Spondylussp,C,Goethe,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,10,0.587,0.006,29.0,10.954,1.0,0.072,0.5,NA,90,,Petersen,,,,,,,,,
2014,Wacker,,,,,,,,,Coldseepcc,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.657,0.006,9.0,12.561,0.1,0.009,-1.77,NA,90,,Petersen,,,,,,,,,
2014,Wacker,Eggshell,Struthio,Struthio camelus,Struthio,Struthio camelus,,,,Ostricheggshell,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,15,0.575,0.005,38.0,10.329,0.6,0.040,,,90,,Petersen,,,,,,,,,
2014,Wacker,Foraminifera,Globigerinoides,Globigerinoides ruber,Globigerinoides,Globigerinoides ruber,1 Open ocean mixed-layer tropical/subtropical with symbionts,Aze et al 2011,,Gruber,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.593,0.014,26.0,11.174,1.0,0.074,0.56,NA,90,,Petersen,,,,,,,,,
2014,Wacker,Foraminifera,Globorotalia,Globorotalia inflata,Globoconella,Globoconella inflata,3 Open ocean thermocline,Aze et al 2011,,Ginflata,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.626,0.004,14.0,12.128,1.0,0.084,,,90,,Petersen,,,,,,,,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.006,28.4,10.997,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.621,0.005,27.8,11.041,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GLT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.631,0.011,27.8,11.041,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.614,0.012,27.8,11.041,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.012,27.8,11.041,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Diadema Sp.,Diadema,,,,,,,BS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.631,0.005,27.8,11.041,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Diadema Sp.,Diadema,,,,,,,BT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.645,0.004,27.8,11.041,0.2,0.011,0.28,0.02,90,,,,,,,,,,,
2019,Davies,Dendraster,Dendraster,,,,,,,MA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.689,0.005,13.4,12.179,0.3,0.025,-0.57,0.03,90,,,,,,,,,,,
2019,Davies,Dendraster,Dendraster,,,,,,,MA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.678,0.004,13.4,12.179,0.3,0.025,-0.57,0.03,90,,,,,,,,,,,
2019,Davies,Dendraster,Dendraster,,,,,,,MB,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.661,0.005,13.4,12.179,0.3,0.025,-0.57,0.03,90,,,,,,,,,,,
2019,Davies,Dendraster,Dendraster,,,,,,,ML,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.674,0.010,13.4,12.179,0.3,0.025,-0.57,0.03,90,,,,,,,,,,,
2019,Davies,Dendraster,Dendraster,,,,,,,MP,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.681,0.012,13.4,12.179,0.3,0.025,-0.57,0.03,90,,,,,,,,,,,
2019,Davies,Dendraster,Dendraster,,,,,,,MS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.664,0.006,13.4,12.179,0.3,0.025,-0.57,0.03,90,,,,,,,,,,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.629,0.012,18.5,11.756,0.5,0.043,1.36,0.03,90,,,,,,,,,,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.615,0.015,18.5,11.756,0.5,0.043,1.36,0.03,90,,,,,,,,,,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YLP,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.650,0.015,18.5,11.756,0.5,0.043,1.36,0.03,90,,,,,,,,,,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YLR,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.644,0.006,18.5,11.756,0.5,0.043,1.36,0.03,90,,,,,,,,,,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YLT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.639,0.011,18.5,11.756,0.5,0.043,1.36,0.03,90,,,,,,,,,,,
